Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 8 	 19																																																																												0.105207	0.000000	0.315621	0.000000	0.000000	0.631242																																																																																						-1.052069	
 8 	 20																																																																												0.078905	0.000000	0.236716	0.000000	0.000000	0.473431																																																																																						-0.789052	
 8 	 21																																																																												0.052603	0.000000	0.157810	0.000000	0.000000	0.315621																																																																																						-0.526035	
 8 	 22																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 8 	 23																																																																												0.021041	0.000000	0.063124	0.000000	0.000000	0.126248																																																																																						-0.210414	
 8 	 24																																																																												0.008417	0.000000	0.025250	0.000000	0.000000	0.050499																																																																																						-0.084166	
 9 	 1																																																																												0.005260	0.000000	0.015781	0.000000	0.000000	0.031562																																																																																						-0.052603	
 9 	 2																																																																												0.002104	0.000000	0.006312	0.000000	0.000000	0.012625																																																																																						-0.021041	
 9 	 3																																																																												0.001052	0.000000	0.003156	0.000000	0.000000	0.006312																																																																																						-0.010521	
 9 	 4																																																																												0.012625	0.000000	0.037875	0.000000	0.000000	0.075749																																																																																						-0.126248	
 9 	 5																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 9 	 6																																																																												0.084166	0.000000	0.252497	0.000000	0.000000	0.504993																																																																																						-0.841655	
 9 	 7																																																																												0.163071	0.000000	0.489212	0.000000	0.000000	0.978423																																																																																						-1.630705	
 9 	 8																																																																												0.142029	0.000000	0.426087	0.000000	0.000000	0.852174																																																																																						-1.420290	
 9 	 9																																																																												0.131509	0.000000	0.394526	0.000000	0.000000	0.789052																																																																																						-1.315087	
 9 	 10																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 9 	 11																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 9 	 12																																																																												0.185164	0.000000	0.555493	0.000000	0.000000	1.110986																																																																																						-1.851643	
 9 	 13																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 9 	 14																																																																												0.170435	0.000000	0.511305	0.000000	0.000000	1.022611																																																																																						-1.704351	
 9 	 15																																																																												0.191477	0.000000	0.574430	0.000000	0.000000	1.148860																																																																																						-1.914767	
 9 	 16																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 9 	 17																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 9 	 18																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 9 	 19																																																																												0.105207	0.000000	0.315621	0.000000	0.000000	0.631242																																																																																						-1.052069	
 9 	 20																																																																												0.078905	0.000000	0.236716	0.000000	0.000000	0.473431																																																																																						-0.789052	
 9 	 21																																																																												0.052603	0.000000	0.157810	0.000000	0.000000	0.315621																																																																																						-0.526035	
 9 	 22																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 9 	 23																																																																												0.021041	0.000000	0.063124	0.000000	0.000000	0.126248																																																																																						-0.210414	
 9 	 24																																																																												0.008417	0.000000	0.025250	0.000000	0.000000	0.050499																																																																																						-0.084166	
 10 	 1																																																																												0.005260	0.000000	0.015781	0.000000	0.000000	0.031562																																																																																						-0.052603	
 10 	 2																																																																												0.002104	0.000000	0.006312	0.000000	0.000000	0.012625																																																																																						-0.021041	
 10 	 3																																																																												0.001052	0.000000	0.003156	0.000000	0.000000	0.006312																																																																																						-0.010521	
 10 	 4																																																																												0.012625	0.000000	0.037875	0.000000	0.000000	0.075749																																																																																						-0.126248	
 10 	 5																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 10 	 6																																																																												0.084166	0.000000	0.252497	0.000000	0.000000	0.504993																																																																																						-0.841655	
 10 	 7																																																																												0.163071	0.000000	0.489212	0.000000	0.000000	0.978423																																																																																						-1.630705	
 10 	 8																																																																												0.142029	0.000000	0.426087	0.000000	0.000000	0.852174																																																																																						-1.420290	
 10 	 9																																																																												0.131509	0.000000	0.394526	0.000000	0.000000	0.789052																																																																																						-1.315087	
 10 	 10																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 10 	 11																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 10 	 12																																																																												0.185164	0.000000	0.555493	0.000000	0.000000	1.110986																																																																																						-1.851643	
 10 	 13																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 10 	 14																																																																												0.170435	0.000000	0.511305	0.000000	0.000000	1.022611																																																																																						-1.704351	
 10 	 15																																																																												0.191477	0.000000	0.574430	0.000000	0.000000	1.148860																																																																																						-1.914767	
 10 	 16																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 10 	 17																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 10 	 18																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 10 	 19																																																																												0.105207	0.000000	0.315621	0.000000	0.000000	0.631242																																																																																						-1.052069	
 10 	 20																																																																												0.078905	0.000000	0.236716	0.000000	0.000000	0.473431																																																																																						-0.789052	
 10 	 21																																																																												0.052603	0.000000	0.157810	0.000000	0.000000	0.315621																																																																																						-0.526035	
 10 	 22																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 10 	 23																																																																												0.021041	0.000000	0.063124	0.000000	0.000000	0.126248																																																																																						-0.210414	
 10 	 24																																																																												0.008417	0.000000	0.025250	0.000000	0.000000	0.050499																																																																																						-0.084166	
 11 	 1																																																																												0.005260	0.000000	0.015781	0.000000	0.000000	0.031562																																																																																						-0.052603	
 11 	 2																																																																												0.002104	0.000000	0.006312	0.000000	0.000000	0.012625																																																																																						-0.021041	
 11 	 3																																																																												0.001052	0.000000	0.003156	0.000000	0.000000	0.006312																																																																																						-0.010521	
 11 	 4																																																																												0.012625	0.000000	0.037875	0.000000	0.000000	0.075749																																																																																						-0.126248	
 11 	 5																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 11 	 6																																																																												0.084166	0.000000	0.252497	0.000000	0.000000	0.504993																																																																																						-0.841655	
 11 	 7																																																																												0.163071	0.000000	0.489212	0.000000	0.000000	0.978423																																																																																						-1.630705	
 11 	 8																																																																												0.142029	0.000000	0.426087	0.000000	0.000000	0.852174																																																																																						-1.420290	
 11 	 9																																																																												0.131509	0.000000	0.394526	0.000000	0.000000	0.789052																																																																																						-1.315087	
 11 	 10																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 11 	 11																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 11 	 12																																																																												0.185164	0.000000	0.555493	0.000000	0.000000	1.110986																																																																																						-1.851643	
 11 	 13																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 11 	 14																																																																												0.170435	0.000000	0.511305	0.000000	0.000000	1.022611																																																																																						-1.704351	
 11 	 15																																																																												0.191477	0.000000	0.574430	0.000000	0.000000	1.148860																																																																																						-1.914767	
 11 	 16																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 11 	 17																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 11 	 18																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 11 	 19																																																																												0.105207	0.000000	0.315621	0.000000	0.000000	0.631242																																																																																						-1.052069	
 11 	 20																																																																												0.078905	0.000000	0.236716	0.000000	0.000000	0.473431																																																																																						-0.789052	
 11 	 21																																																																												0.052603	0.000000	0.157810	0.000000	0.000000	0.315621																																																																																						-0.526035	
 11 	 22																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 11 	 23																																																																												0.021041	0.000000	0.063124	0.000000	0.000000	0.126248																																																																																						-0.210414	
 11 	 24																																																																												0.008417	0.000000	0.025250	0.000000	0.000000	0.050499																																																																																						-0.084166	
 12 	 1																																																																												0.005260	0.000000	0.015781	0.000000	0.000000	0.031562																																																																																						-0.052603	
 12 	 2																																																																												0.002104	0.000000	0.006312	0.000000	0.000000	0.012625																																																																																						-0.021041	
 12 	 3																																																																												0.001052	0.000000	0.003156	0.000000	0.000000	0.006312																																																																																						-0.010521	
 12 	 4																																																																												0.012625	0.000000	0.037875	0.000000	0.000000	0.075749																																																																																						-0.126248	
 12 	 5																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 12 	 6																																																																												0.084166	0.000000	0.252497	0.000000	0.000000	0.504993																																																																																						-0.841655	
 12 	 7																																																																												0.163071	0.000000	0.489212	0.000000	0.000000	0.978423																																																																																						-1.630705	
 12 	 8																																																																												0.142029	0.000000	0.426087	0.000000	0.000000	0.852174																																																																																						-1.420290	
 12 	 9																																																																												0.131509	0.000000	0.394526	0.000000	0.000000	0.789052																																																																																						-1.315087	
 12 	 10																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 12 	 11																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 12 	 12																																																																												0.185164	0.000000	0.555493	0.000000	0.000000	1.110986																																																																																						-1.851643	
 12 	 13																																																																												0.168331	0.000000	0.504992	0.000000	0.000000	1.009984																																																																																						-1.683307	
 12 	 14																																																																												0.170435	0.000000	0.511305	0.000000	0.000000	1.022611																																																																																						-1.704351	
 12 	 15																																																																												0.191477	0.000000	0.574430	0.000000	0.000000	1.148860																																																																																						-1.914767	
 12 	 16																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 12 	 17																																																																												0.199894	0.000000	0.599681	0.000000	0.000000	1.199361																																																																																						-1.998935	
 12 	 18																																																																												0.147290	0.000000	0.441870	0.000000	0.000000	0.883740																																																																																						-1.472900	
 12 	 19																																																																												0.105207	0.000000	0.315621	0.000000	0.000000	0.631242																																																																																						-1.052069	
 12 	 20																																																																												0.078905	0.000000	0.236716	0.000000	0.000000	0.473431																																																																																						-0.789052	
 12 	 21																																																																												0.052603	0.000000	0.157810	0.000000	0.000000	0.315621																																																																																						-0.526035	
 12 	 22																																																																												0.033666	0.000000	0.100999	0.000000	0.000000	0.201997																																																																																						-0.336662	
 12 	 23																																																																												0.021041	0.000000	0.063124	0.000000	0.000000	0.126248																																																																																						-0.210414	
 12 	 24																																																																												0.008417	0.000000	0.025250	0.000000	0.000000	0.050499																																																																																						-0.084166	
