Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 8 	 19																																																																												0.264339	0.000000	0.793017	0.000000	0.000000	1.586034																																																																																						-2.643390	
 8 	 20																																																																												0.198254	0.000000	0.594763	0.000000	0.000000	1.189525																																																																																						-1.982543	
 8 	 21																																																																												0.132170	0.000000	0.396508	0.000000	0.000000	0.793017																																																																																						-1.321695	
 8 	 22																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 8 	 23																																																																												0.052868	0.000000	0.158603	0.000000	0.000000	0.317207																																																																																						-0.528678	
 8 	 24																																																																												0.021147	0.000000	0.063441	0.000000	0.000000	0.126883																																																																																						-0.211471	
 9 	 1																																																																												0.013217	0.000000	0.039651	0.000000	0.000000	0.079302																																																																																						-0.132169	
 9 	 2																																																																												0.005287	0.000000	0.015860	0.000000	0.000000	0.031721																																																																																						-0.052868	
 9 	 3																																																																												0.002643	0.000000	0.007930	0.000000	0.000000	0.015860																																																																																						-0.026434	
 9 	 4																																																																												0.031721	0.000000	0.095162	0.000000	0.000000	0.190324																																																																																						-0.317207	
 9 	 5																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 9 	 6																																																																												0.211471	0.000000	0.634414	0.000000	0.000000	1.268827																																																																																						-2.114712	
 9 	 7																																																																												0.409725	0.000000	1.229175	0.000000	0.000000	2.458350																																																																																						-4.097250	
 9 	 8																																																																												0.356857	0.000000	1.070570	0.000000	0.000000	2.141140																																																																																						-3.568567	
 9 	 9																																																																												0.330424	0.000000	0.991271	0.000000	0.000000	1.982542																																																																																						-3.304237	
 9 	 10																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 9 	 11																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 9 	 12																																																																												0.465237	0.000000	1.395711	0.000000	0.000000	2.791422																																																																																						-4.652370	
 9 	 13																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 9 	 14																																																																												0.428229	0.000000	1.284687	0.000000	0.000000	2.569374																																																																																						-4.282290	
 9 	 15																																																																												0.481097	0.000000	1.443292	0.000000	0.000000	2.886583																																																																																						-4.810973	
 9 	 16																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 9 	 17																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 9 	 18																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 9 	 19																																																																												0.264339	0.000000	0.793017	0.000000	0.000000	1.586034																																																																																						-2.643390	
 9 	 20																																																																												0.198254	0.000000	0.594763	0.000000	0.000000	1.189525																																																																																						-1.982543	
 9 	 21																																																																												0.132170	0.000000	0.396508	0.000000	0.000000	0.793017																																																																																						-1.321695	
 9 	 22																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 9 	 23																																																																												0.052868	0.000000	0.158603	0.000000	0.000000	0.317207																																																																																						-0.528678	
 9 	 24																																																																												0.021147	0.000000	0.063441	0.000000	0.000000	0.126883																																																																																						-0.211471	
 10 	 1																																																																												0.013217	0.000000	0.039651	0.000000	0.000000	0.079302																																																																																						-0.132169	
 10 	 2																																																																												0.005287	0.000000	0.015860	0.000000	0.000000	0.031721																																																																																						-0.052868	
 10 	 3																																																																												0.002643	0.000000	0.007930	0.000000	0.000000	0.015860																																																																																						-0.026434	
 10 	 4																																																																												0.031721	0.000000	0.095162	0.000000	0.000000	0.190324																																																																																						-0.317207	
 10 	 5																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 10 	 6																																																																												0.211471	0.000000	0.634414	0.000000	0.000000	1.268827																																																																																						-2.114712	
 10 	 7																																																																												0.409725	0.000000	1.229175	0.000000	0.000000	2.458350																																																																																						-4.097250	
 10 	 8																																																																												0.356857	0.000000	1.070570	0.000000	0.000000	2.141140																																																																																						-3.568567	
 10 	 9																																																																												0.330424	0.000000	0.991271	0.000000	0.000000	1.982542																																																																																						-3.304237	
 10 	 10																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 10 	 11																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 10 	 12																																																																												0.465237	0.000000	1.395711	0.000000	0.000000	2.791422																																																																																						-4.652370	
 10 	 13																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 10 	 14																																																																												0.428229	0.000000	1.284687	0.000000	0.000000	2.569374																																																																																						-4.282290	
 10 	 15																																																																												0.481097	0.000000	1.443292	0.000000	0.000000	2.886583																																																																																						-4.810973	
 10 	 16																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 10 	 17																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 10 	 18																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 10 	 19																																																																												0.264339	0.000000	0.793017	0.000000	0.000000	1.586034																																																																																						-2.643390	
 10 	 20																																																																												0.198254	0.000000	0.594763	0.000000	0.000000	1.189525																																																																																						-1.982543	
 10 	 21																																																																												0.132170	0.000000	0.396508	0.000000	0.000000	0.793017																																																																																						-1.321695	
 10 	 22																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 10 	 23																																																																												0.052868	0.000000	0.158603	0.000000	0.000000	0.317207																																																																																						-0.528678	
 10 	 24																																																																												0.021147	0.000000	0.063441	0.000000	0.000000	0.126883																																																																																						-0.211471	
 11 	 1																																																																												0.013217	0.000000	0.039651	0.000000	0.000000	0.079302																																																																																						-0.132169	
 11 	 2																																																																												0.005287	0.000000	0.015860	0.000000	0.000000	0.031721																																																																																						-0.052868	
 11 	 3																																																																												0.002643	0.000000	0.007930	0.000000	0.000000	0.015860																																																																																						-0.026434	
 11 	 4																																																																												0.031721	0.000000	0.095162	0.000000	0.000000	0.190324																																																																																						-0.317207	
 11 	 5																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 11 	 6																																																																												0.211471	0.000000	0.634414	0.000000	0.000000	1.268827																																																																																						-2.114712	
 11 	 7																																																																												0.409725	0.000000	1.229175	0.000000	0.000000	2.458350																																																																																						-4.097250	
 11 	 8																																																																												0.356857	0.000000	1.070570	0.000000	0.000000	2.141140																																																																																						-3.568567	
 11 	 9																																																																												0.330424	0.000000	0.991271	0.000000	0.000000	1.982542																																																																																						-3.304237	
 11 	 10																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 11 	 11																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 11 	 12																																																																												0.465237	0.000000	1.395711	0.000000	0.000000	2.791422																																																																																						-4.652370	
 11 	 13																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 11 	 14																																																																												0.428229	0.000000	1.284687	0.000000	0.000000	2.569374																																																																																						-4.282290	
 11 	 15																																																																												0.481097	0.000000	1.443292	0.000000	0.000000	2.886583																																																																																						-4.810973	
 11 	 16																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 11 	 17																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 11 	 18																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 11 	 19																																																																												0.264339	0.000000	0.793017	0.000000	0.000000	1.586034																																																																																						-2.643390	
 11 	 20																																																																												0.198254	0.000000	0.594763	0.000000	0.000000	1.189525																																																																																						-1.982543	
 11 	 21																																																																												0.132170	0.000000	0.396508	0.000000	0.000000	0.793017																																																																																						-1.321695	
 11 	 22																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 11 	 23																																																																												0.052868	0.000000	0.158603	0.000000	0.000000	0.317207																																																																																						-0.528678	
 11 	 24																																																																												0.021147	0.000000	0.063441	0.000000	0.000000	0.126883																																																																																						-0.211471	
 12 	 1																																																																												0.013217	0.000000	0.039651	0.000000	0.000000	0.079302																																																																																						-0.132169	
 12 	 2																																																																												0.005287	0.000000	0.015860	0.000000	0.000000	0.031721																																																																																						-0.052868	
 12 	 3																																																																												0.002643	0.000000	0.007930	0.000000	0.000000	0.015860																																																																																						-0.026434	
 12 	 4																																																																												0.031721	0.000000	0.095162	0.000000	0.000000	0.190324																																																																																						-0.317207	
 12 	 5																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 12 	 6																																																																												0.211471	0.000000	0.634414	0.000000	0.000000	1.268827																																																																																						-2.114712	
 12 	 7																																																																												0.409725	0.000000	1.229175	0.000000	0.000000	2.458350																																																																																						-4.097250	
 12 	 8																																																																												0.356857	0.000000	1.070570	0.000000	0.000000	2.141140																																																																																						-3.568567	
 12 	 9																																																																												0.330424	0.000000	0.991271	0.000000	0.000000	1.982542																																																																																						-3.304237	
 12 	 10																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 12 	 11																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 12 	 12																																																																												0.465237	0.000000	1.395711	0.000000	0.000000	2.791422																																																																																						-4.652370	
 12 	 13																																																																												0.422942	0.000000	1.268824	0.000000	0.000000	2.537649																																																																																						-4.229415	
 12 	 14																																																																												0.428229	0.000000	1.284687	0.000000	0.000000	2.569374																																																																																						-4.282290	
 12 	 15																																																																												0.481097	0.000000	1.443292	0.000000	0.000000	2.886583																																																																																						-4.810973	
 12 	 16																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 12 	 17																																																																												0.502245	0.000000	1.506735	0.000000	0.000000	3.013470																																																																																						-5.022450	
 12 	 18																																																																												0.370076	0.000000	1.110226	0.000000	0.000000	2.220453																																																																																						-3.700755	
 12 	 19																																																																												0.264339	0.000000	0.793017	0.000000	0.000000	1.586034																																																																																						-2.643390	
 12 	 20																																																																												0.198254	0.000000	0.594763	0.000000	0.000000	1.189525																																																																																						-1.982543	
 12 	 21																																																																												0.132170	0.000000	0.396508	0.000000	0.000000	0.793017																																																																																						-1.321695	
 12 	 22																																																																												0.084589	0.000000	0.253766	0.000000	0.000000	0.507531																																																																																						-0.845885	
 12 	 23																																																																												0.052868	0.000000	0.158603	0.000000	0.000000	0.317207																																																																																						-0.528678	
 12 	 24																																																																												0.021147	0.000000	0.063441	0.000000	0.000000	0.126883																																																																																						-0.211471	
